order_date,region,category,price,promo_flag,units_sold
2023-01-01,North,Apparel,14.88,0,66.2
2023-01-02,West,Electronics,33.13,0,64.1
2023-01-03,East,Home,6.29,0,60.4
2023-01-04,South,Home,118.46,0,52.5
2023-01-05,South,Grocery,30.59,0,38.0
2023-01-06,West,Apparel,98.71,0,41.2
2023-01-07,North,Apparel,24.39,0,36.4
2023-01-08,East,Electronics,37.61,0,51.1
2023-01-09,North,Apparel,53.1,0,61.7
2023-01-10,North,Home,42.31,0,69.5
2023-01-11,East,Home,96.81,0,51.9
2023-01-12,West,Home,115.13,0,37.6
2023-01-13,East,Apparel,105.66,1,49.5
2023-01-14,West,Electronics,22.66,0,42.5
2023-01-15,East,Home,94.32,0,52.7
2023-01-16,West,Electronics,22.01,0,57.6
2023-01-17,East,Apparel,110.04,0,69.5
2023-01-18,North,Electronics,64.56,0,52.9
2023-01-19,West,Electronics,43.68,0,41.3
2023-01-20,South,Grocery,23.06,1,50.2
2023-01-21,East,Home,6.36,0,47.1
2023-01-22,South,Grocery,33.51,0,54.9
2023-01-23,North,Grocery,110.11,0,66.5
2023-01-24,West,Home,96.69,0,73.3
2023-01-25,West,Apparel,116.53,0,74.6
2023-01-26,East,Electronics,16.59,0,34.5
2023-01-27,South,Apparel,73.1,0,32.2
2023-01-28,West,Electronics,34.57,1,55.3
2023-01-29,East,Grocery,67.44,0,46.3
2023-01-30,South,Apparel,41.85,0,56.7
2023-01-31,South,Grocery,37.6,0,64.3
2023-02-01,North,Apparel,70.99,0,50.8
2023-02-02,North,Home,26.08,0,47.1
2023-02-03,East,Home,58.95,0,37.3
2023-02-04,West,Electronics,79.84,1,61.4
2023-02-05,North,Home,19.74,0,54.8
2023-02-06,West,Apparel,112.02,0,67.1
2023-02-07,West,Electronics,63.16,0,64.2
2023-02-08,South,Grocery,99.25,0,71.1
2023-02-09,East,Electronics,80.2,0,46.8
2023-02-10,North,Apparel,86.65,0,26.2
2023-02-11,West,Home,87.36,0,34.3
2023-02-12,East,Grocery,105.64,0,41.7
2023-02-13,South,Apparel,75.56,1,82.5
2023-02-14,North,Home,36.99,0,66.1
2023-02-15,West,Home,16.44,1,76.1
2023-02-16,South,Electronics,74.72,0,57.9
2023-02-17,West,Grocery,12.63,0,41.0
2023-02-18,East,Electronics,32.75,0,45.0
2023-02-19,West,Home,11.98,1,71.8
2023-02-20,West,Home,68.12,0,58.2
2023-02-21,North,Apparel,23.44,1,81.4
2023-02-22,South,Grocery,75.2,0,60.1
2023-02-23,South,Grocery,95.95,0,35.0
2023-02-24,South,Electronics,99.52,1,64.9
2023-02-25,North,Apparel,40.6,0,41.1
2023-02-26,East,Grocery,68.13,1,63.7
2023-02-27,North,Apparel,69.75,0,59.7
2023-02-28,East,Apparel,59.38,0,64.3
2023-03-01,East,Grocery,80.34,0,58.4
2023-03-02,West,Grocery,29.16,0,47.0
2023-03-03,East,Electronics,117.61,0,42.1
2023-03-04,South,Apparel,16.28,0,47.9
2023-03-05,West,Home,100.36,0,51.4
2023-03-06,South,Electronics,73.32,0,62.2
2023-03-07,South,Electronics,33.16,0,70.5
2023-03-08,West,Home,90.75,0,63.5
2023-03-09,South,Electronics,14.72,0,44.2
2023-03-10,North,Electronics,94.06,0,43.5
